crawled_at,metal,category,product,sell_price,buy_price,url
2026-05-02 08:15:48,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14765000,14225000,https://giabac.doji.vn
2026-05-02 08:15:48,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2953000,2845000,https://giabac.doji.vn
2026-05-02 08:15:48,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14765000,14225000,https://giabac.doji.vn
2026-05-04 09:25:35,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2950000,2842000,https://giabac.doji.vn
2026-05-04 09:25:35,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14750000,14210000,https://giabac.doji.vn
2026-05-04 16:14:46,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2919000,2812000,https://giabac.doji.vn
2026-05-04 16:14:46,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14595000,14060000,https://giabac.doji.vn
2026-05-05 09:54:51,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2865000,2759000,https://giabac.doji.vn
2026-05-05 09:54:51,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14325000,13795000,https://giabac.doji.vn
2026-05-05 16:58:08,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2887000,2781000,https://giabac.doji.vn
2026-05-05 16:58:08,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14435000,13905000,https://giabac.doji.vn
2026-05-06 09:34:04,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 1 LUONG,2929000,2821000,https://giabac.doji.vn
2026-05-06 09:34:04,silver,BANG GIA BAC DOJI,BAC DOJI 99.9 - 5 LUONG,14645000,14105000,https://giabac.doji.vn
